E	Sunny	MCX bridge	MCX native	exact
-116.0	-8.339258193969727	-8.304059982299805	-8.325889587402344	-8.319048425743517
-112.0	-7.791116714477539	-7.744623184204102	-7.770893096923828	-7.763895285859405
-108.0	-7.248651504516602	-7.203327178955078	-7.236825942993164	-7.2270738386674225
-104.0	-6.725986480712891	-6.680696487426758	-6.718326568603516	-6.7086972738559325
-100.0	-6.228118896484375	-6.185474395751953	-6.22068977355957	-6.208876261409671
-96.0	-5.753032684326172	-5.705265045166016	-5.737749099731445	-5.7277188149968765
-92.0	-5.288288116455078	-5.247406005859375	-5.270635604858398	-5.265330154235755
-88.0	-4.843418121337891	-4.8014068603515625	-4.821220397949219	-4.82181256624375
-84.0	-4.421052932739258	-4.376298904418945	-4.397394180297852	-4.397265266903389
-80.0	-4.013553619384766	-3.972566604614258	-3.9876461029052734	-3.9917842623040656
-76.0	-3.625102996826172	-3.586881637573242	-3.6002426147460938	-3.605462210845644
-72.0	-3.2649612426757812	-3.2259559631347656	-3.2263927459716797	-3.2383882865120768
-68.0	-2.9138011932373047	-2.8823623657226562	-2.883089065551758	-2.89064804384509
-64.0	-2.5822391510009766	-2.55462646484375	-2.5554676055908203	-2.5623232851634725
-60.0	-2.2684993743896484	-2.2413291931152344	-2.242340087890625	-2.2534919305902577
-56.0	-1.9812602996826172	-1.9488677978515625	-1.9532108306884766	-1.9642278914585063
-52.0	-1.7091789245605469	-1.6808032989501953	-1.6769943237304688	-1.6946009476725408
-48.0	-1.4546222686767578	-1.4356441497802734	-1.4307842254638672	-1.4446766296043165
-44.0	-1.2205314636230469	-1.2077007293701172	-1.2045707702636719	-1.2145161050999036
-40.0	-1.0119686126708984	-0.9970436096191406	-0.9962539672851562	-1.0041760721634887
-36.0	-0.8197727203369141	-0.8072586059570312	-0.8062057495117188	-0.8137086578722119
-32.0	-0.6490268707275391	-0.6371078491210938	-0.6383895874023438	-0.6431613240563934
-28.0	-0.4966106414794922	-0.48546409606933594	-0.4943389892578125	-0.49257678025594487
-24.0	-0.36950111389160156	-0.35162353515625	-0.36478233337402344	-0.36199290443312293
-20.0	-0.2538890838623047	-0.24454689025878906	-0.2567310333251953	-0.25144267188767344
-16.0	-0.1591033935546875	-0.15306663513183594	-0.16521644592285156	-0.1609540927817079
-12.0	-0.089752197265625	-0.08964157104492188	-0.09706878662109375	-0.09055015863555127
