E	Sunny	MCX bridge	MCX native	exact
-20.0	-2.9816508818231	-2.861470476577665	-2.8235685437516054	-2.928184723410368
-16.0	-2.8590539865008964	-2.8743640840972944	-2.7200231684444702	-2.8376961443044024
-12.0	-2.7863481133145456	-2.890801168558255	-2.7216768940683096	-2.767292210158246
-8.0	-2.485654757239047	-3.0807907296246526	-2.4256518964702423	-2.716990849632566
-4.0	-2.9870411911297765	-3.0533899805556075	-3.209172035873962	-2.6868048938584934
0.0	-2.650652676687116	-2.5264352405947648	-2.554375691503651	-2.6767420515226945
4.0	-2.4432499905061036	-3.800688633182233	-2.634699335548021	-2.6868048938584934
8.0	-3.4000845172386676	-2.454987201688084	-3.303894475293646	-2.716990849632566
12.0	-3.664797288304783	-2.249743248491882	-2.875501247171428	-2.767292210158246
16.0	-2.544184751420346	-2.5154699039578645	-2.448075633550559	-2.8376961443044024
20.0	-2.8107834435186874	-2.0889643137329017	NaN	-2.928184723410368
24.0	-2.385103446814412	NaN	-2.2890697457111173	-3.0387349559558174
